"Query"	"Lowest E-value"	"Description (E-value)"
Rana_pipiens_Transcript_294408	4.122E-126	AGENCOURT_10253709 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:5085013 5', mRNA sequence
Rana_pipiens_Transcript_296790	0	AGENCOURT_8098588 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5570621 5', mRNA sequence
Rana_pipiens_Transcript_297356	3.657E-160	AGENCOURT_10496580 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6643718 5', mRNA sequence
Rana_pipiens_Transcript_299420	2.366E-42	AGENCOURT_13052998 NICHD_XGC_Te1 Xenopus laevis cDNA clone IMAGE:6929085 5', mRNA sequence
Rana_pipiens_Transcript_307240	5.098E-136	BX845364 NICHD_XGC_Sp1 Xenopus laevis cDNA clone IMAGp998C229473; IMAGE:4173261 5', mRNA sequence
Rana_pipiens_Transcript_310305		not available
Rana_pipiens_Transcript_310308	2.233E-71	AGENCOURT_39733422 NICHD_XGC_Te2N Xenopus laevis cDNA clone IMAGE:7765853 5', mRNA sequence
Rana_pipiens_Transcript_313828		not available
Rana_pipiens_Transcript_314203		not available
Rana_pipiens_Transcript_318710	1.602E-117	xl11012E10F_1289582 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11012E10 5', mRNA sequence
Rana_pipiens_Transcript_321864		not available
Rana_pipiens_Transcript_322537	3.538E-71	AGENCOURT_90755199 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8823638 5', mRNA sequence
Rana_pipiens_Transcript_323401		not available
Rana_pipiens_Transcript_329174	4.967E-163	DC022226 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone rxlk64h05ex 3', mRNA sequence
Rana_pipiens_Transcript_337017		not available
Rana_pipiens_Transcript_337019		not available
Rana_pipiens_Transcript_337302	1.283E-129	DC055018 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk62h11ex 5', mRNA sequence
Rana_pipiens_Transcript_353056	2.594E-132	AGENCOURT_75548541 NICHD_XGC_thy Xenopus laevis cDNA clone IMAGE:8546729 5', mRNA sequence
Rana_pipiens_Transcript_407789	1.125E-5	AGENCOURT_14164170 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6949628 3', mRNA sequence
Rana_pipiens_Transcript_410943	6.532E-91	BX848497 NICHD_XGC_Kid1 Xenopus laevis cDNA clone IMAGp998P089299; IMAGE:4031863 5', mRNA sequence
Rana_pipiens_Transcript_463385	2.36818	AGENCOURT_69679379 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGE:8329342 5', mRNA sequence
Rana_pipiens_Transcript_463386	2.31857	AGENCOURT_69679379 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGE:8329342 5', mRNA sequence
Rana_pipiens_Transcript_475763		not available
Rana_pipiens_Transcript_483564	7.258E-21	dd22d09.y1 Wellcome CRC pSK St 10 5 Xenopus laevis cDNA clone IMAGE:3421120 5', mRNA sequence
Rana_pipiens_Transcript_585955	0.0409922	AGENCOURT_26187923 Blumberg_Cho dorsal blastopore lip Xenopus laevis cDNA clone IMAGE:7295924 3', mRNA sequence
Rana_pipiens_Transcript_616852	1.274E-26	BP691870 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL466l02ex 5', mRNA sequence
Rana_pipiens_Transcript_626846		not available
